Selected line,Order,Equipment,Description of Technical Object,Description,Basic start date,Order Type,Cost Center,System Condition,Basic finish date,Plant,Total actual costs,User Status,System status,Scheduled start,Assembly,Description of assembly,Created on,Notification
,318468640,12244546,TRAC HYD START 6X4 SLPR,[R]A-144/150/153)Perdida aceite por cone,1/1/2022,RPM,6004510016,,3/31/2023,1600,0.00,,CRTD ESTC MANC NMAT PRC,1/1/2022,HYDRAULIC SYS GRP,Hydraulic sys grp,9/4/2018,
,318468641,12244546,TRAC HYD START 6X4 SLPR,[R]A)No es posible verifcar mazas/rueda,1/1/2022,RPM,6004510016,,3/31/2022,1600,0.00,,CRTD ESTC MANC NMAT PRC,1/1/2022,,,9/4/2018,
,318485527,11915777,TRLR MANF HEADER HP,Certificacion Anual Manifold 11915777,9/7/2018,CERT,6004510016,,9/7/2018,1600,"432,889.61",,TECO GMPS MSPT PRC  SETC,9/7/2018,DISCHARGE IRON GRP,Discharge iron grp,9/7/2018,27105720
,318486771,12872273,SKID BLOWER POWERED BY DIESEL ENGINE,Mangerotes para soplador,9/7/2018,RPM,6004510016,,9/7/2018,1600,"64,464.35",,TECO ESTC MACM PRC  SETC,9/7/2018,HOSES,HOSES,9/7/2018,27106029
,318486775,12872275,SKID BLOWER POWERED BY DIESEL ENGINE,Mangerotes para soplador,9/7/2018,RPM,6004510016,,9/7/2018,1600,"58,189.00",,TECO ESTC MACM PRC  SETC,9/7/2018,HOSES,HOSES,9/7/2018,27106033
,318486779,12872277,SKID BLOWER POWERED BY DIESEL ENGINE,Mangerotes para soplador,9/7/2018,RPM,6004510016,,9/7/2018,1600,"58,189.00",,TECO ESTC MACM PRC  SETC,9/7/2018,HOSES,HOSES,9/7/2018,27106037
,318487243,12385723,TRLR STRG 4000CF PIG TANK,"JUNTA PLANA ACOPLE Ø 4""",9/7/2018,RPM,6004510016,,9/7/2018,1600,"1,938.30",,TECO ESTC MACM PRC  SETC,9/7/2018,AIR DUCT,AIR DUCT,9/7/2018,27107440
,318542340,,,Fabricar bridas para centrifuga HCL,9/18/2018,RPM,6004510016,,9/18/2018,1600,"67,026.40",,TECO ESTC NMAT PRC  SETC,9/18/2018,PUMP CENTR OTHER,Pump centrifugal other,9/18/2018,27158447
,318587502,,,"Caño de 8"" con ranura para vitaulic",9/26/2018,RPM,6004510016,,9/26/2018,1600,"24,371.40",,TECO ESTC NMAT PRC  SETC,9/26/2018,MANIFOLD SUCTION,Manifold suction,9/26/2018,27198468
,318587523,11541416,TRLR MANF HEADER HP,"Uniones a golpe 4""",9/26/2018,RPM,6004510016,,9/26/2018,1600,"17,105.28",,TECO ESTC GMPS MACM PRC  SETC,9/26/2018,MFLD SUC HOSE/CONN,Manifold suction hose/connection,9/26/2018,27198487
,318592153,,,"Materiales para filtros de 4""",9/27/2018,RPM,6004510016,,10/27/2018,1600,"120,134.17",,TECO ESTC NMAT PRC  SETC,9/27/2018,WELDING,WELDING,9/27/2018,27204255
,318593080,12244530,TRAC HYD START 6X4 SLPR,VTV UNID. 12244530,9/27/2018,CERT,6004510016,,9/27/2018,1600,"2,600.16",,TECO ESTC NMAT PRC  SETC,9/27/2018,SCHD INSP MECH GRP,Sched inspection mech grp,9/27/2018,27203533
,318595842,11280758,TRK MECHANIC SERVICE,VTV UNID. 11280758,9/28/2018,CERT,6004510016,,9/28/2018,1600,"2,029.65",,TECO ESTC NMAT PRC  SETC,9/28/2018,SCHD INSP MECH GRP,Sched inspection mech grp,9/28/2018,27205934
,318597517,11541416,TRLR MANF HEADER HP,Certificacion 90 dias,9/28/2018,CERT,6004510016,,9/28/2018,1600,"558,745.45",,TECO ESTC GMPS MACM PRC  SETC,9/28/2018,DISCHARGE IRON GRP,Discharge iron grp,9/28/2018,27207630
,318609496,12041989,STOR MOUNTAIN MOVER TRLR 4000 CF 4,VTV UNID. 12041989,10/1/2018,CERT,6004510016,,10/1/2018,1600,"30,991.75",,TECO ESTC NMAT PRC  SETC,10/1/2018,SCHD INSP MECH GRP,Sched inspection mech grp,10/1/2018,27218901
,318616399,10723684,TRLR BLNR LGC LIQ ADD PREBLEND HYDRATION,"Manguerotes de 4""",10/2/2018,RPM,6004510016,,10/2/2018,1600,"139,422.85",,TECO ESTC GMPS MACM PRC  SETC,10/2/2018,HOSES,HOSES,10/2/2018,27224572
,318652146,12585212,TRK TRANSPT IRON W\CRANE,complemento de DME,10/9/2018,CERT,6004510016,,10/9/2018,1600,"41,678.49",,TECO ESTC GMPS MACM PRC  SETC,10/9/2018,DISCHARGE IRON GRP,Discharge iron grp,10/9/2018,27256900
,318663323,12285094,TRLR TRANSPT LOWBOY 2 AXLE,VTV UNID. 12285094,10/11/2018,CERT,6004510016,,10/11/2018,1600,"3,096.03",,TECO ESTC NMAT PRC  SETC,10/11/2018,SCHD INSP MECH GRP,Sched inspection mech grp,10/11/2018,27267453
,318694531,12585212,TRK TRANSPT IRON W\CRANE,complemento de empaquetaduras,10/17/2018,PREV,6004510016,,10/17/2018,1600,"5,236.14",,TECO ESTC GMPS MANC PRC  SETC,10/17/2018,DISCHARGE IRON GRP,Discharge iron grp,10/17/2018,27296329
,318697166,12965543,TRLR MANF HP W/X-ARMS,oring de deposito,10/17/2018,PREV,6004510016,,11/17/2018,1600,"86,155.31",,TECO ESTC GMPS MANC PRC  SETC,10/17/2018,DISCHARGE IRON GRP,Discharge iron grp,10/17/2018,27298550
,318697169,12231108,TRLR MANF HEADER HP,repuestos para manifold,10/17/2018,PREV,6004510016,,11/17/2018,1600,"166,991.89",,TECO ESTC GMPS MANC PRC  SETC,10/17/2018,DISCHARGE IRON GRP,Discharge iron grp,10/17/2018,27299203
,318704743,12585212,TRK TRANSPT IRON W\CRANE,complemento de DME,10/19/2018,PREV,6004510016,,10/31/2018,1600,"3,818,755.40",,TECO ESTC GMPS MANC PRC  SETC,10/19/2018,DISCHARGE IRON GRP,Discharge iron grp,10/19/2018,27306426
,318708338,12363088,TRK TRANSPT IRON W\CRANE,Complemento de DME Contingencia YPF,10/19/2018,CERT,6004510016,,10/31/2018,1600,"2,226,905.94",,TECO ESTC GMPS MACM PRC  SETC,10/19/2018,DISCHARGE IRON GRP,Discharge iron grp,10/19/2018,27308379
,318752656,12585212,TRK TRANSPT IRON W\CRANE,complemento de DME,10/28/2018,PREV,6004510016,,11/30/2018,1600,"409,948.05",,TECO ESTC GMPS MANC PRC  SETC,10/28/2018,DISCHARGE IRON GRP,Discharge iron grp,10/28/2018,27348924
,318813492,12585212,TRK TRANSPT IRON W\CRANE,complemento de DME,11/8/2018,PREV,6004510016,,11/8/2018,1600,"1,728,496.15",,TECO ESTC GMPS MANC MSPT PRC  SETC,11/8/2018,DISCHARGE IRON GRP,Discharge iron grp,11/8/2018,27398593
,318845123,12363088,TRK TRANSPT IRON W\CRANE,Complemento de DME,11/14/2018,PREV,6004510016,,11/14/2018,1600,"1,269,223.12",,TECO ESTC GMPS MANC PRC  SETC,11/14/2018,DISCHARGE IRON GRP,Discharge iron grp,11/14/2018,27432227
,318872001,11915777,TRLR MANF HEADER HP,Mantenimiento de Manifold 90dias,11/20/2018,PREV,6004510016,,11/20/2018,1600,"213,015.05",,TECO ESTC GMPS MANC PRC  SETC,11/20/2018,DISCHARGE IRON GRP,Discharge iron grp,11/20/2018,27456208
,318872006,12363088,TRK TRANSPT IRON W\CRANE,Complemento de DME,11/20/2018,PREV,6004510016,,11/20/2018,1600,"187,022.05",,TECO GMPS MANC PRC  SETC,11/20/2018,DISCHARGE IRON GRP,Discharge iron grp,11/20/2018,27456213
,318873444,,,LAVADO EQUIPOS DTM RDM [[GAZZ]],11/20/2018,RPM,6004510016,,11/30/2018,1600,"64,050.75",,TECO PCNF ESTC MANC NMAT PRC  SETC,11/20/2018,RADIATOR/MOUNTS,Radiator/mounts,11/20/2018,27457920
,318895329,11691538,TRLR PUMP HT2000 2000 HHP,318724900- pestillos de cierre gabinete,11/25/2018,RPM,6004510016,,11/30/2018,1600,0.00,,CLSD MANC NCMP NMAT PRC,11/25/2018,CONTROL STAND GRP,Control stand grp,11/25/2018,27476554
,318946064,13149864,TRK TRANSPT IRON W\CRANE,complemento de DME,12/4/2018,PREV,6004510016,,12/4/2018,1600,"4,028,319.67",,TECO GMPS MANC PRC  SETC,12/4/2018,DISCHARGE IRON GRP,Discharge iron grp,12/4/2018,27523509
,318961560,13149864,TRK TRANSPT IRON W\CRANE,complemento de DME,12/7/2018,PREV,6004510016,,12/7/2018,1600,"263,184.50",,TECO ESTC GMPS MANC PRC  SETC,12/7/2018,DISCHARGE IRON GRP,Discharge iron grp,12/7/2018,27538051
,318983353,13149864,TRK TRANSPT IRON W\CRANE,fabricacion Tacos de DME,12/11/2018,PREV,6004510016,,12/11/2018,1600,0.00,,TECO MANC PRC  SETC,12/11/2018,DISCHARGE IRON GRP,Discharge iron grp,12/11/2018,27556600
,319011579,11541416,TRLR MANF HEADER HP,Repuestos para manifold,12/17/2018,PREV,6004510016,,12/17/2018,1600,"196,075.57",,TECO ESTC GMPS MANC PRC  SETC,12/17/2018,DISCHARGE IRON GRP,Discharge iron grp,12/17/2018,27582510
,319014211,13149864,TRK TRANSPT IRON W\CRANE,complemento de DME,12/17/2018,PREV,6004510016,,12/17/2018,1600,"2,159,906.71",,TECO ESTC GMPS MANC MSPT PRC  SETC,12/17/2018,DISCHARGE IRON GRP,Discharge iron grp,12/17/2018,27585013
,319064791,13149864,TRK TRANSPT IRON W\CRANE,complemento de DME,12/28/2018,PREV,6004510016,,12/28/2018,1600,"266,730.54",,TECO ESTC GMPS MANC PRC  SETC,12/28/2018,DISCHARGE IRON GRP,Discharge iron grp,12/28/2018,27630014
,319088835,12585212,TRK TRANSPT IRON W\CRANE,Complemento de DME,1/3/2019,CERT,6004510016,,1/3/2019,1600,"3,828,897.65",,TECO ESTC GMPS MANC PRC  SETC,1/3/2019,DISCHARGE IRON GRP,Discharge iron grp,1/3/2019,27653657
,319091634,12117290,UNIT TRUCK CONTROL CENTER TCC,Rpl. cable HDMI Server mon. 2,10/3/2020,UNSC,6004510016,,11/3/2020,1600,0.00,,TECO NMAT PRC  SETC,10/3/2020,CABLE,CABLE,1/3/2019,27655042
,319245046,12585212,TRK TRANSPT IRON W\CRANE,complemento de DME,1/24/2019,PREV,6004510016,,1/24/2019,1600,"574,172.43",,TECO ESTC GMPS MANC PRC  SETC,1/24/2019,DISCHARGE IRON GRP,Discharge iron grp,1/24/2019,27802531
,319255484,12585212,TRK TRANSPT IRON W\CRANE,insumos para DME,1/26/2019,PREV,6004510016,,1/26/2019,1600,"439,666.19",,TECO ESTC GMPS MANC PRC  SETC,1/26/2019,DISCHARGE IRON GRP,Discharge iron grp,1/26/2019,27811964
,319275454,12585212,TRK TRANSPT IRON W\CRANE,Hammer Tool para,1/30/2019,PREV,6004510016,,1/30/2019,1600,"21,695.77",,TECO ESTC GMPS MANC MSPT PRC  SETC,1/30/2019,DISCHARGE IRON GRP,Discharge iron grp,1/30/2019,27830370
,319278638,12363088,TRK TRANSPT IRON W\CRANE,recambio de piezas por desgaste,1/30/2019,PREV,6004510016,,1/30/2019,1600,"167,419.46",,TECO ESTC GMPS MANC PRC  SETC,1/30/2019,DISCHARGE IRON GRP,Discharge iron grp,1/30/2019,27832517
,319287080,11317872,TRLR PUMP Q10-X 2000 HHP CVRSN,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,TREV,6004510016,,1/31/2019,1600,0.00,,CLSD MANC NCMP NMAT PRC  SETC,1/31/2019,PEQ-19-001,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,27841388
,319287081,11326732,TRLR PUMP Q10-X 2000 HHP CVRSN,DISCHARGE IRON BUMPER SUPPORT UPGRADE.,1/31/2019,TREV,6004510016,,1/31/2019,1600,0.00,,CLSD MANC NCMP NMAT PRC  SETC,1/31/2019,PEQ-19-001,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,27841389
,319287087,11451139,TRLR PUMP Q10-X 2000 HHP CVRSN,DISCHARGE IRON BUMPER SUPPORT UPGRADE.,1/31/2019,TREV,6004510016,,1/31/2019,1600,0.00,,CLSD MANC NCMP NMAT PRC  SETC,1/31/2019,PEQ-19-001,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,27841395
,319287097,11501075,TRLR PUMP Q10-X 2000 HHP CVRSN,DISCHARGE IRON BUMPER SUPPORT UPGRADE.,1/31/2019,TREV,6004510016,,1/31/2019,1600,0.00,,CLSD MANC NCMP NMAT PRC  SETC,1/31/2019,PEQ-19-001,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,27841405
,319287098,11501080,TRLR PUMP Q10-X 2000 HHP CVRSN,DISCHARGE IRON BUMPER SUPPORT UPGRADE.,1/31/2019,TREV,6004510016,,1/31/2019,1600,0.00,,CLSD MANC NCMP NMAT PRC  SETC,1/31/2019,PEQ-19-001,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,27841406
,319287099,11501481,TRLR PUMP Q10-X 2000 HHP CVRSN,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,TREV,6004510016,,1/31/2019,1600,0.00,,CLSD MANC NCMP NMAT PRC  SETC,1/31/2019,PEQ-19-001,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,27841407
,319287103,11516541,TRLR PUMP Q10-X 2000 HHP CVRSN,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,TREV,6004510016,,1/31/2019,1600,0.00,,CLSD MANC NCMP NMAT PRC  SETC,1/31/2019,PEQ-19-001,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,27841411
,319287104,11516556,TRLR PUMP Q10-X 2000 HHP CVRSN,DISCHARGE IRON BUMPER SUPPORT UPGRADE.,1/31/2019,TREV,6004510016,,1/31/2019,1600,0.00,,CLSD MANC NCMP NMAT PRC  SETC,1/31/2019,PEQ-19-001,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,27841412
,319287109,11528730,TRLR PUMP Q10-X 2000 HHP CVRSN,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,TREV,6004510016,,1/31/2019,1600,0.00,,CLSD MANC NCMP NMAT PRC  SETC,1/31/2019,PEQ-19-001,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,27841416
,319287111,11528740,TRLR PUMP Q10-X 2000 HHP CVRSN,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,TREV,6004510016,,1/31/2019,1600,0.00,,CLSD MANC NCMP NMAT PRC  SETC,1/31/2019,PEQ-19-001,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,27841419
,319287112,11542685,TRLR PUMP Q10-X 2000 HHP CVRSN,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,TREV,6004510016,,1/31/2019,1600,0.00,,CLSD MANC NCMP NMAT PRC  SETC,1/31/2019,PEQ-19-001,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,27841420
,319287115,11568617,TRLR PUMP Q10-X 2000 HHP CVRSN,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,TREV,6004510016,,1/31/2019,1600,0.00,,CLSD MANC NCMP NMAT PRC  SETC,1/31/2019,PEQ-19-001,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,27841423
,319287116,13038511,TRLR PUMP Q10-X 2000 HHP,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,TREV,6004510016,,1/31/2019,1600,0.00,,CLSD MANC NCMP NMAT PRC  SETC,1/31/2019,PEQ-19-001,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,27841424
,319287118,13038517,TRLR PUMP Q10-X 2000 HHP,DISCHARGE IRON BUMPER SUPPORT UPGRADE.,1/31/2019,TREV,6004510016,,1/31/2019,1600,0.00,,CLSD MANC NCMP NMAT PRC  SETC,1/31/2019,PEQ-19-001,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,27841426
,319287119,13038520,TRLR PUMP Q10-X 2000 HHP,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,TREV,6004510016,,1/31/2019,1600,0.00,,CLSD MANC NCMP NMAT PRC  SETC,1/31/2019,PEQ-19-001,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,27841427
,319287120,13038523,TRLR PUMP Q10-X 2000 HHP,DISCHARGE IRON BUMPER SUPPORT UPGRADE.,1/31/2019,TREV,6004510016,,1/31/2019,1600,0.00,,CLSD MANC NCMP NMAT PRC  SETC,1/31/2019,PEQ-19-001,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,27841428
,319287122,13038529,TRLR PUMP Q10-X 2000 HHP,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,TREV,6004510016,,1/31/2019,1600,0.00,,CLSD MANC NCMP NMAT PRC  SETC,1/31/2019,PEQ-19-001,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,27841430
,319287123,13038532,TRLR PUMP Q10-X 2000 HHP,DISCHARGE IRON BUMPER SUPPORT UPGRADE.,1/31/2019,TREV,6004510016,,1/31/2019,1600,0.00,,CLSD MANC NCMP NMAT PRC  SETC,1/31/2019,PEQ-19-001,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,27841431
,319287125,13038538,TRLR PUMP Q10-X 2000 HHP,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,TREV,6004510016,,1/31/2019,1600,0.00,,CLSD MANC NCMP NMAT PRC  SETC,1/31/2019,PEQ-19-001,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,27841433
,319287126,13057720,TRLR PUMP Q10-X 2000 HHP,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,TREV,6004510016,,1/31/2019,1600,0.00,,CLSD MANC NCMP NMAT PRC  SETC,1/31/2019,PEQ-19-001,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,27841434
,319287127,13057723,TRLR PUMP Q10-X 2000 HHP,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,TREV,6004510016,,1/31/2019,1600,0.00,,CLSD MANC NCMP NMAT PRC  SETC,1/31/2019,PEQ-19-001,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,27841435
,319287128,13057726,TRLR PUMP Q10-X 2000 HHP,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,TREV,6004510016,,1/31/2019,1600,0.00,,CLSD MANC NCMP NMAT PRC  SETC,1/31/2019,PEQ-19-001,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,27841436
,319287129,13057729,TRLR PUMP Q10-X 2000 HHP DUAL FUEL,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,TREV,6004510016,,1/31/2019,1600,0.00,,CLSD MANC NCMP NMAT PRC  SETC,1/31/2019,PEQ-19-001,DISCHARGE IRON BUMPER SUPPORT UPGRADE,1/31/2019,27841437
